name,lat,lon
Новокосино,55.745113,37.864052
Новогиреево,55.752237,37.814587
Перово,55.75098,37.78422
Шоссе Энтузиастов,55.75809,37.751703
Авиамоторная,55.751933,37.717444
Площадь Ильича,55.747115,37.680726
Марксистская,55.740746,37.65604
Третьяковская,55.741125,37.626142
Ховрино,55.8777,37.4877
Беломорская,55.8651,37.4764
Речной вокзал,55.854152,37.476728
Водный стадион,55.838978,37.487515
Войковская,55.818923,37.497791
Сокол,55.805564,37.515245
Аэропорт,55.800441,37.530477
Динамо,55.789704,37.558212
Белорусская,55.777439,37.582107
Маяковская,55.769808,37.596192
Тверская,55.765343,37.603918
Театральная,55.758808,37.61768
Новокузнецкая,55.742391,37.62928
Павелецкая,55.729741,37.638693
Автозаводская,55.706634,37.657008
Технопарк,55.695,37.664167
Коломенская,55.677423,37.663719
Каширская,55.655745,37.649683
Кантемировская,55.636107,37.656218
Царицыно,55.620982,37.669612
Орехово,55.61269,37.695214
Домодедовская,55.610131,37.717111
Красногвардейская,55.614075,37.742697
Алма-Атинская,55.63349,37.765678
Медведково,55.888103,37.661562
Бабушкинская,55.870641,37.664341
Свиблово,55.855558,37.653379
Ботанический сад,55.844597,37.637811
ВДНХ,55.819626,37.640751
Алексеевская,55.807794,37.638699
Рижская,55.792494,37.636114
Проспект Мира,55.781827,37.633199
Сухаревская,55.772315,37.63285
Тургеневская,55.765371,37.636732
Китай-город,55.756498,37.631326
Третьяковская,55.74073,37.625624
Октябрьская,55.731232,37.612851
Шаболовская,55.718828,37.607892
Ленинский проспект,55.70678,37.58499
Академическая,55.687147,37.5723
Профсоюзная,55.677671,37.562595
Новые Черемушки,55.670077,37.554493
Калужская,55.656682,37.540075
Беляево,55.642357,37.526115
Коньково,55.631857,37.519156
Теплый Стан,55.61873,37.505912
Ясенево,55.606182,37.5334
Новоясеневская,55.601947,37.553017
Бульвар Рокоссовского,55.814916,37.732227
Черкизовская,55.802787,37.744863
Преображенская площадь,55.796322,37.713582
Сокольники,55.789282,37.679895
Красносельская,55.780014,37.666097
Комсомольская,55.774072,37.654565
Красные ворота,55.768307,37.6478
Чистые пруды,55.76499,37.638293
Лубянка,55.759889,37.625336
Охотный ряд,55.757228,37.615078
Библиотека им.Ленина,55.752123,37.610388
Кропоткинская,55.745297,37.604217
Парк культуры,55.736163,37.595027
Фрунзенская,55.727462,37.58022
Спортивная,55.722388,37.562041
Воробьевы горы,55.709169,37.557293
Университет,55.69329,37.534511
Проспект Вернадского,55.676549,37.504584
Юго-Западная,55.663146,37.482852
Тропарево,55.6459,37.4725
Румянцево,55.633,37.4419
Саларьево,55.6227,37.424
Филатов луг,55.5997,37.4075
Прокшино,55.5813,37.4425
Ольховая,55.5692,37.4589
Новомосковская (Коммунарка),55.559765,37.468716
Потапово,55.552538,37.490978
Щелковская,55.809962,37.798261
Первомайская,55.794376,37.799364
Измайловская,55.787713,37.779896
Партизанская,55.788401,37.74882
Семеновская,55.783096,37.719289
Электрозаводская,55.782057,37.7053
Бауманская,55.772405,37.67904
Курская,55.758564,37.659039
Площадь Революции,55.756741,37.62236
Арбатская,55.752312,37.60349
Смоленская,55.747713,37.583802
Киевская,55.743117,37.564132
Парк Победы,55.735679,37.516865
Славянский бульвар,55.729542,37.470973
Кунцевская,55.730673,37.446522
Молодежная,55.741375,37.415627
Крылатское,55.756842,37.408139
Строгино,55.803831,37.402405
Мякинино,55.823342,37.385214
Волоколамская,55.835154,37.382453
Митино,55.846098,37.36122
Пятницкое шоссе,55.853634,37.353108
Кунцевская,55.730815,37.446754
Пионерская,55.736027,37.466728
Филевский парк,55.739665,37.483902
Багратионовская,55.743544,37.497042
Фили,55.746763,37.514035
Кутузовская,55.740544,37.5341
Студенческая,55.738761,37.54842
Киевская,55.743168,37.565425
Смоленская,55.749083,37.582173
Арбатская,55.752122,37.601553
Александровский сад,55.752255,37.608775
Деловой центр (Выставочная),55.750243,37.542641
Москва-Сити,55.748056,37.532778
Алтуфьево,55.899034,37.586473
Бибирево,55.883868,37.603011
Отрадное,55.864273,37.605066
Владыкино,55.848236,37.590451
Петровско-Разумовская,55.836565,37.575512
Тимирязевская,55.81866,37.574498
Дмитровская,55.808056,37.581734
Савёловская,55.794054,37.587163
Менделеевская,55.781999,37.599141
Цветной бульвар,55.771653,37.620466
Чеховская,55.765747,37.608493
Боровицкая,55.750399,37.60934
Полянка,55.736795,37.618594
Серпуховская,55.726548,37.624792
Тульская,55.70961,37.622569
Нагатинская,55.682099,37.620917
Нагорная,55.672962,37.610397
Нахимовский проспект,55.662379,37.605274
Севастопольская,55.651451,37.59809
Чертановская,55.640538,37.606065
Южная,55.622436,37.609047
Пражская,55.610962,37.602386
Улица Академика Янгеля,55.596753,37.601498
Аннино,55.583477,37.596999
Бульвар Дмитрия Донского,55.568201,37.576856
Планерная,55.859676,37.436808
Сходненская,55.84926,37.44076
Тушинская,55.825479,37.437024
Спартак,55.8182,37.4352
Щукинская,55.8094,37.463241
Октябрьское поле,55.793581,37.493317
Полежаевская,55.777201,37.517895
Беговая,55.773505,37.545518
Улица 1905 года,55.763944,37.562271
Баррикадная,55.760793,37.581242
Пушкинская,55.765607,37.604356
Кузнецкий мост,55.761498,37.624423
Китай-город,55.75436,37.633877
Таганская,55.739502,37.653605
Пролетарская,55.731546,37.666917
Волгоградский проспект,55.725546,37.685197
Текстильщики,55.709211,37.732117
Кузьминки,55.705493,37.763295
Рязанский проспект,55.716139,37.792694
Выхино,55.715983,37.816788
Лермонтовский проспект,55.702036,37.851044
Жулебино,55.684722,37.855833
Котельники,55.6743,37.8582
Новослободская,55.779606,37.601252
Проспект Мира,55.779584,37.633646
Комсомольская,55.775672,37.654772
Курская,55.758631,37.661059
Таганская,55.742396,37.653334
Павелецкая,55.731414,37.636294
Добрынинская,55.728994,37.622533
Октябрьская,55.729264,37.611049
Парк культуры,55.735221,37.593095
Киевская,55.74361,37.56735
Краснопресненская,55.760378,37.577114
Белорусская,55.775179,37.582303
Физтех,55.921389,37.546389
Лианозово,55.931111,37.543611
Яхромская,55.8775,37.545833
Селигерская,55.86483,37.55005
Верхние Лихоборы,55.85566,37.56282
Окружная,55.848889,37.571111
Петровско-Разумовская,55.836667,37.575556
Фонвизинская,55.822778,37.588056
Бутырская ,55.813333,37.602778
Марьина Роща,55.793723,37.61618
Достоевская,55.781667,37.613889
Трубная,55.76771,37.621926
Сретенский бульвар,55.766106,37.635688
Чкаловская,55.755951,37.659293
Римская,55.747027,37.679996
Крестьянская застава,55.732278,37.665325
Дубровка,55.71807,37.676259
Кожуховская,55.706156,37.68544
Печатники,55.692921,37.728338
Волжская,55.690446,37.754314
Люблино,55.676596,37.761639
Братиславская,55.658817,37.748415
Марьино,55.649158,37.743844
Борисово,55.6325,37.743333
Шипиловская,55.621667,37.743611
Зябликово,55.611944,37.745278
Каширская,55.654327,37.647705
Варшавская,55.653294,37.619522
Каховская,55.652923,37.596573
Бунинская аллея,55.537977,37.515899
Улица Горчакова,55.542281,37.532063
Бульвар Адмирала Ушакова,55.545207,37.542329
Улица Скобелевская,55.548103,37.552721
Улица Старокачаловская,55.569194,37.576074
Лесопарковая,55.581656,37.577816
Битцевский Парк,55.600066,37.556058
Деловой центр,55.7491,37.5395
Пыхтино,55.625,37.298056
Парк Победы,55.736478,37.514401
Минская,55.7232,37.5038
Ломоносовский проспект,55.7055,37.5225
Раменки,55.6961,37.505
Мичуринский проспект,55.6888,37.485
Озёрная,55.6698,37.4495
Говорово,55.6588,37.4174
Солнцево,55.649,37.3911
Боровское шоссе,55.647,37.3701
Новопеределкино,55.6385,37.3544
Рассказовка,55.6324,37.3328
Аэропорт Внуково,55.606667,37.288333
Окружная,55.848889,37.571111
Владыкино,55.847222,37.591944
Ботанический сад,55.845556,37.640278
Ростокино,55.839444,37.667778
Белокаменная,55.83,37.700556
Бульвар Рокоссовского,55.817222,37.736944
Локомотив,55.803219,37.745742
Измайлово,55.788611,37.742778
Соколиная Гора,55.77,37.745278
Шоссе Энтузиастов,55.758633,37.748477
Андроновка,55.741111,37.734444
Нижегородская,55.732222,37.72825
Новохохловская,55.723889,37.716111
Угрешская,55.718333,37.697778
Дубровка,55.71268,37.677775
Автозаводская,55.70631,37.66314
ЗИЛ,55.698333,37.648333
Верхние Котлы,55.69,37.618889
Крымская,55.690038,37.605
Площадь Гагарина,55.706944,37.585833
Лужники,55.720278,37.563056
Кутузовская,55.740833,37.533333
Деловой центр,55.747222,37.532222
Шелепиха,55.7575,37.525556
Хорошево,55.777222,37.507222
Зорге,55.787778,37.504444
Панфиловская,55.799167,37.498889
Стрешнево,55.813611,37.486944
Балтийская,55.825833,37.496111
Коптево,55.839637,37.520037
Лихоборы,55.847222,37.551389
Тимирязевская,55.819049,37.578882
Улица Милашенкова,55.821876,37.591206
Телецентр,55.821795,37.608975
Улица Академика Королёва,55.821821,37.627167
Выставочный центр,55.824086,37.638494
Улица Сергея Эйзенштейна,55.829305,37.644997
Мичуринский проспект,55.688333,37.485
Проспект Вернадского,55.677778,37.505
Новаторская,55.670833,37.52
Воронцовская,55.658333,37.540833
Зюзино,55.655158,37.575786
Каховская,55.653056,37.598333
Варшавская,55.653333,37.619444
Каширская,55.655,37.648611
Кленовый бульвар,55.674444,37.680833
Нагатинский Затон,55.684444,37.703611
Печатники,55.694722,37.7275
Текстильщики,55.708333,37.728333
Нижегородская,55.7325,37.728611
Авиамоторная,55.753056,37.718611
Лефортово,55.764444,37.702778
Электрозаводская,55.782057,37.7053
Сокольники,55.791111,37.678889
Рижская,55.792222,37.633889
Марьина Роща,55.798333,37.617222
Савёловская,55.794054,37.587163
Петровский парк,55.79233,37.55952
ЦСКА,55.78643,37.53502
Хорошевская,55.77643,37.51981
Шелепиха,55.75723,37.52571
Деловой центр,55.7491,37.5395
Народное Ополчение,55.775278,39.484444
Мнёвники,55.761153,37.47139
Терехово,55.748108,37.459738
Кунцевская,55.730278,37.445833
Давыдково,55.715278,37.451667
Аминьевская,55.697222,37.464167
Косино,55.7026,37.8511
Улица Дмитриевского,55.7093,37.8792
Лухмановская,55.7078,37.9004
Некрасовка,55.7029,37.9264
Юго-Восточная,55.71,37.82
Окская,55.72,37.77
Стахановская,55.73,37.76
Нижегородская,55.73,37.73
Лефортово,55.764444,37.702778
Электрозаводская,55.782057,37.7053
Авиамоторная,55.751933,37.717444
Лобня,56.0048,37.29057
Шереметьевская,55.983882,37.498752
Хлебниково,55.970682,37.504638
Водники,55.953419,37.511143
Долгопрудная,55.938656,37.520542
Новодачная,55.924459,37.527877
Марк,55.904458,37.538242
Лианозово,55.897316,37.553261
Бескудниково,55.882713,37.567768
Дегунино,55.86586,37.573235
Окружная,55.848889,37.571111
Тимирязевская,55.81866,37.574498
Савёловская,55.793936,37.587038
Белорусская,55.775179,37.582303
Беговая,55.773505,37.545518
Тестовская,55.754292,37.531551
Фили,55.744263,37.514526
Славянский бульвар,55.729722,37.470556
Кунцевская,55.730554,37.445591
Рабочий Посёлок,55.726957,37.415577
Сетунь,55.723713,37.397259
Немчиновка,55.715668,37.374611
Сколково,55.666801,37.424618
Баковка,55.682816,37.315205
Одинцово,55.67798,37.27773
Нахабино,55.841522,37.185204
Аникеевка,55.832099,37.219829
Опалиха,55.82333,37.246843
Красногорская,55.814571,37.303337
Павшино,55.815231,37.341461
Пенягино,55.822539,37.361049
Волоколамская,55.835154,37.382453
Трикотажная,55.833137,37.398967
Тушинская,55.825479,37.437024
Покровское-Стрешнево,55.814247,37.47678
Стрешнево,55.813611,37.486944
Красный Балтиец,55.815514,37.526367
Гражданская,55.805527,37.55315
Дмитровская,55.808056,37.581734
Рижская,55.792494,37.636114
Площадь трёх вокзалов,55.776087,37.651861
Курская,55.757622,37.660767
Москва Товарная,55.745358,37.688839
Калитники,55.733981,37.702203
Новохохловская,55.718523,37.719236
Текстильщики,55.708934,37.731283
Люблино,55.676596,37.761639
Депо,55.674257,37.728446
Перерва,55.660809,37.716278
Курьяново,55.649722,37.701667
Москворечье,55.641239,37.689789
Царицыно,55.618309,37.668846
Покровское,55.814247,37.47678
Красный строитель,55.589455,37.615093
Битца,55.571186,37.611443
Бутово,55.548279,37.555668
Щербинка,55.509724,37.562008
Остафьево,55.50337,37.520055
Силикатная,55.470278,37.555278
Подольск,55.431667,37.565
Марьина Роща,55.800833,37.618889
Крюково,55.979722,37.173611
Малино,55.969167,37.211667
Фирсановская,55.960278,37.251111
Сходня,55.949722,37.298611
Подрезково,55.941667,37.334722
Новоподрезково,55.936389,37.351667
Молжаниново,55.924167,37.380833
Химки,55.894444,37.450833
Левобережная,55.886944,37.468611
Ховрино,55.879444,37.486667
Грачёвская,55.869444,37.509167
Моссельмаш,55.862222,37.526389
Лихоборы,55.85,37.5525
Петровско-Разумовская,55.839722,37.568333
Останкино,55.817222,37.603611
Рижская,55.796944,37.639167
Митьково,55.786389,37.6675
Электрозаводская,55.781111,37.705278
Сортировочная,55.763611,37.720833
Авиамоторная,55.750278,37.721944
Андроновка,55.744444,37.741111
Перово,55.735556,37.765
Плющево,55.730556,37.774167
Вешняки,55.721944,37.799167
Выхино,55.716575,37.815911
Косино,55.714167,37.8475
Ухтомская,55.698611,37.864167
Люберцы I,55.681667,37.896944
Панки,55.668889,37.9225
Томилино,55.655,37.954722
Красково,55.649722,37.9825
Малаховка,55.645,38.008333
Удельная,55.634444,38.043889
Быково,55.626667,38.070556
Ильинская,55.616389,38.100278
Отдых,55.601111,38.136944
Кратово,55.591667,38.16
Есенинская,55.581944,38.184167
Фабричная,55.572778,1.873333
Раменское,55.565278,55.565278
Ипподром,55.560278,38.238889
Железнодорожная,55.7525,38.008889
Ольгино,55.751667,37.978611
Кучино,55.752222,37.954722
Салтыковская,55.757778,37.923056
Никольское,55.759722,37.897778
Реутово,55.751389,37.855833
Новогиреево,55.744444,37.818333
Кусково,55.739722,37.795278
Чухлинка,55.733889,55.733889
Нижегородская,55.733333,37.729444
Серп и Молот,55.748056,37.681944
Курская,55.740833,37.660556
Площадь трёх вокзалов,55.776667,37.651111
Рижская,55.793889,37.638611
Марьина Роща,55.800833,37.618889
Савёловская,55.794444,37.590278
Белорусская,55.776389,37.580278
Ермакова Роща,55.765556,37.535278
Тестовская,55.750833,37.530278
Кутузовская,55.741944,37.533056
Поклонная,55.728333,37.511667
Минская,55.723333,37.533056
Матвеевское,55.704722,37.482222
Аминьевская,55.699444,37.468056
Очаково I,55.683611,37.451389
Мещерская,55.666667,37.424444
Солнечная,55.656944,37.383611
Новопеределкино,55.639167,37.381111
Переделкино,55.656111,37.353889
Мичуринец,55.646111,37.315
Внуково,55.648889,37.269722
Лесной Городок,55.630278,37.219167
Толстопальцево,55.607778,37.186389
Кокошкино,55.599722,37.171389
Санино,55.583889,37.138333
Крёкшино,55.577778,37.109722
Победа,55.566111,37.093056
Апрелевка,55.550278,37.0675
Новаторская,55.670833,37.52
Университет дружбы народов,55.64824,37.507556
Генерала Тюленева,55.626248,37.486032
Тютчевская,55.618801,37.481415
Корниловская,55.599411,37.479586
Коммунарка,55.57354,37.468116
Новомосковская,55.560094,37.469807
